sid,sim_RMSE,bl_RMSE,sim_CI95 Coverage,bl_CI95 Coverage,sim_LogLikelihood,bl_LogLikelihood
sid2,0.4131527889165673,0.37293794259674107,0.47619047619047616,0.09523809523809523,-469.926801224876,-338.86939429878294
sid8,0.1599954903677234,0.177574619290635,0.98,0.02,-56.43930644992117,-67.6750860186441
sid13,0.34794298693973547,0.26025158001590903,0.5396825396825397,0.07936507936507936,-286.20868569996173,-184.18026840106316
sid17,0.24492765305780786,0.2551264006637024,0.5217391304347826,0.0,-316.8559905482036,-1665.007944052997
sid18,0.15336578492207026,0.04911550571391111,0.40540540540540543,0.02702702702702703,-113.91274489476385,-33.96036962598269
sid30,0.54953527805312,0.6763333294384418,0.35714285714285715,0.0,-646.010035233447,-1101.957317937755
sid36,0.020596403250590832,1.0000000000000002e-06,1.0,0.0,-18.6146796154142,-0.0009000004500002998
sid39,0.14732691996281597,0.10764166507231869,0.5641025641025641,0.1794871794871795,-96.8733473527987,-63.82072047357402
sid54,0.2293368596587691,0.3010010046724824,0.5517241379310345,0.0,-156.54435877611397,-2413.3327571157247
sid56,0.4655941175924718,0.10189487946969339,0.07692307692307693,0.0,-530.6238043370307,-447.3000564871061
sid69,0.08285541301483727,0.03435869338404514,0.13953488372093023,0.06976744186046512,-71.46324069323266,-22.09918999719041
sid77,0.0174934457853347,1e-06,1.0,0.0,-15.849363376641863,-0.0009000004500002999
sid82,0.25909884332842253,0.5169736028758489,0.5263157894736842,0.0,-178.9913268857637,-572.2226004489088
sid88,0.20338792778743184,0.34630014298288675,0.2,0.0,-160.8999897027808,-323.2172397528094
sid91,0.024426222108156478,1.0000000000000002e-06,1.0,0.0,-22.22752857329725,-0.0009000004500002999
sid92,0.4834777724505219,0.48470993162511566,0.1111111111111111,0.022222222222222223,-1159.9220358491095,-1185.3560236230228
sid297,0.025554555555555556,1e-06,1.0,0.0,-23.29899385691494,-0.0009000004500003
sid327,0.516889689498434,0.5235280954392395,0.1875,0.0,-1512.472232630959,-5021.356826159937
sid385,0.08279849598637147,0.08219247137187062,0.7142857142857143,0.11428571428571428,-48.06323649132536,-61.267938966529044
sid395,0.028153332555176633,0.03576079551816242,0.8048780487804879,0.14634146341463414,-18.48923421544512,-23.77864009156304
sid400,0.014980935700766742,1.0000000000000002e-06,1.0,0.0,-13.479829898697954,-0.0009000004500002999
sid403,0.023132907984785265,1.0000000000000004e-06,1.0,0.0,-20.87291841739576,-0.0009000004500002998
sid406,0.38998591141385197,0.4576984859779398,0.2,0.025,-313.0964038425351,-424.6765720955618
