Inference for Stan model: anon_model_329731fcd003d203126423e54afc57c9.
1 chains, each with iter=10000; warmup=5000; thin=1; 
post-warmup draws per chain=5000, total post-warmup draws=5000.

            mean se_mean     sd   2.5%    25%     50%    75%  97.5%  n_eff   Rhat
t0[1]       0.47  6.8e-4 1.5e-3   0.47   0.47    0.47   0.47   0.47      5   1.16
t0[2]       0.65  1.9e-3 3.1e-3   0.65   0.65    0.65   0.65   0.66      3   2.75
t0[3]       2.73  5.5e-3 8.7e-3   2.72   2.72    2.73   2.74   2.75      3   2.78
t0[4]       0.13  1.1e-4 2.5e-4   0.13   0.13    0.13   0.13   0.13      6   1.24
t0[5]       1.21    0.03   0.04   1.16   1.17    1.21   1.25   1.27      2   2.85
t0[6]       1.96  9.0e-4 3.2e-3   1.95   1.95    1.96   1.96   1.96     13   1.28
t0[7]       1.13    0.02   0.03   1.09    1.1    1.11   1.16   1.19      3   2.32
t0[8]        0.7  9.9e-4 2.3e-3   0.69    0.7     0.7    0.7    0.7      5   1.18
t0[9]       2.51    0.01   0.02   2.48   2.49     2.5   2.52   2.54      3   2.45
t0[10]      1.11  6.8e-4 2.3e-3    1.1    1.1    1.11   1.11   1.11     12   1.09
t0[11]      0.32  1.5e-3 2.4e-3   0.31   0.31    0.32   0.32   0.32      3   2.41
t0[12]      0.23  2.4e-4 5.6e-4   0.22   0.23    0.23   0.23   0.23      5   1.16
t0[13]      1.34  9.9e-3   0.02   1.32   1.33    1.35   1.36   1.37      2   3.15
t0[14]      0.24  1.4e-3 2.3e-3   0.24   0.24    0.24   0.25   0.25      3   2.89
t0[15]      0.29  3.6e-4 7.9e-4   0.29   0.29    0.29   0.29   0.29      5   1.04
t0[16]      0.78  8.2e-3   0.01   0.76   0.77    0.78    0.8   0.81      3   2.71
t0[17]      0.32  1.3e-3 2.6e-3   0.31   0.32    0.32   0.32   0.32      4    1.0
t0[18]      0.64  1.6e-3 3.0e-3   0.64   0.64    0.64   0.64   0.65      4   1.97
t0[19]      0.64  1.2e-3 2.6e-3   0.64   0.64    0.64   0.65   0.65      4   1.15
t0[20]      5.79    0.01   0.02   5.75   5.77    5.79   5.81   5.82      3   2.46
t0[21]      6.61    0.02   0.05   6.53   6.57     6.6   6.63   6.74      8   1.07
t0[22]      0.37  2.3e-3 3.8e-3   0.36   0.36    0.37   0.37   0.37      3   2.64
t0[23]      4.57  2.0e-3 6.6e-3   4.56   4.56    4.57   4.57   4.58     11    1.0
t0[24]      1.42  8.0e-4 2.5e-3   1.42   1.42    1.42   1.43   1.43      9   1.03
t0[25]      1.03  2.8e-3 6.0e-3   1.02   1.03    1.03   1.03   1.04      5    1.2
t0[26]      2.09  7.1e-3   0.01   2.07   2.08    2.09    2.1   2.12      4   1.19
t0[27]      0.31  7.0e-4 1.1e-3   0.31   0.31    0.31   0.31   0.31      3   2.23
t0[28]      0.29  5.6e-4 1.2e-3   0.29   0.29    0.29   0.29   0.29      4    1.0
t0[29]      0.44  4.0e-4 8.3e-4   0.44   0.44    0.44   0.44   0.44      4    1.4
t0[30]      3.12  4.5e-3 9.3e-3    3.1   3.11    3.12   3.12   3.14      4   1.59
t0[31]       2.0  9.4e-3   0.02   1.96   1.98    1.99   2.02   2.04      5    1.3
t0[32]      0.79  2.5e-3 4.1e-3   0.78   0.78    0.79   0.79   0.79      3   2.98
t0[33]      2.73    0.02   0.03   2.67    2.7    2.73   2.76   2.78      3   2.35
t0[34]      1.05  2.5e-3 4.4e-3   1.05   1.05    1.05   1.06   1.06      3   1.75
t0[35]      0.81  7.9e-4 1.5e-3   0.81   0.81    0.81   0.81   0.81      4   1.68
t0[36]      3.31  8.4e-3   0.01   3.28    3.3    3.32   3.32   3.33      3   2.07
t0[37]      0.17  7.1e-4 1.4e-3   0.17   0.17    0.17   0.17   0.17      4    1.5
t0[38]      4.09  9.5e-3   0.02   4.07   4.08    4.09    4.1   4.11      3   2.88
t0[39]      0.48  1.8e-3 4.9e-3   0.48   0.48    0.48   0.49   0.49      7   1.02
t0[40]      0.25  4.6e-4 8.2e-4   0.24   0.24    0.24   0.25   0.25      3   1.99
t0[41]       0.4  7.3e-4 1.1e-3   0.39    0.4     0.4    0.4    0.4      2   3.75
t0[42]      0.76  6.1e-4 1.6e-3   0.75   0.76    0.76   0.76   0.76      7    1.0
t0[43]     22.04    0.12   0.31  21.49  21.84   22.03  22.22  22.65      6   1.04
t0[44]      0.52  5.7e-4 1.8e-3   0.52   0.52    0.52   0.52   0.53     10    1.3
t0[45]      3.17  4.9e-3 9.9e-3   3.16   3.17    3.18   3.18   3.19      4   1.16
t0[46]      0.57  8.1e-4 1.7e-3   0.56   0.57    0.57   0.57   0.57      5   1.33
t0[47]      0.66  1.9e-3 3.5e-3   0.66   0.66    0.66   0.67   0.67      4   1.37
t0[48]      1.96  5.0e-3   0.01   1.94   1.95    1.95   1.96   1.98      5   1.14
t0[49]      0.54  2.1e-3 4.3e-3   0.54   0.54    0.54   0.55   0.55      4   1.56
t0[50]      1.58  5.6e-3   0.01   1.57   1.57    1.57   1.58    1.6      3   1.62
t0[51]      0.29  6.7e-4 1.2e-3   0.28   0.29    0.29   0.29   0.29      3   1.79
t0[52]      1.17  9.4e-4 1.8e-3   1.17   1.17    1.17   1.17   1.17      4   1.64
t0[53]       1.2  1.6e-3 3.7e-3   1.19    1.2     1.2    1.2   1.21      5   1.18
t0[54]       3.6  5.4e-3   0.01   3.57   3.59     3.6   3.61   3.62      5   1.27
t0[55]      4.18    0.03   0.06   4.07   4.14    4.21   4.23   4.26      3   1.79
t0[56]      2.83  1.9e-3 6.8e-3   2.82   2.83    2.83   2.84   2.85     13   1.06
t0[57]      0.63  3.9e-3 6.0e-3   0.62   0.62    0.63   0.63   0.64      2   3.18
t0[58]       0.2  2.3e-4 4.8e-4    0.2    0.2     0.2    0.2    0.2      4    1.5
t0[59]      0.33  5.1e-4 8.6e-4   0.33   0.33    0.33   0.33   0.33      3   1.91
t0[60]      5.69  7.4e-3   0.02   5.66   5.67    5.69   5.71   5.73      7   1.01
t0[61]      5.15    0.01   0.03   5.11   5.13    5.15   5.17    5.2      4   1.78
t0[62]      0.52  2.0e-3 3.4e-3   0.51   0.51    0.51   0.52   0.52      3   1.89
t0[63]      0.15  3.1e-4 5.4e-4   0.15   0.15    0.15   0.15   0.15      3   1.88
t0[64]      0.54  8.0e-4 1.8e-3   0.54   0.54    0.54   0.55   0.55      5   1.59
t0[65]       1.6  1.2e-3 3.4e-3   1.59    1.6     1.6    1.6    1.6      9    1.3
t0[66]      1.01  1.6e-3 4.6e-3    1.0    1.0    1.01   1.01   1.02      8   1.02
t0[67]      0.26  3.7e-4 6.8e-4   0.26   0.26    0.26   0.26   0.26      3   1.86
t0[68]      0.19  1.5e-4 3.5e-4   0.19   0.19    0.19   0.19   0.19      5   1.09
t0[69]      0.83  9.5e-4 2.3e-3   0.83   0.83    0.83   0.83   0.84      6   1.34
t0[70]      2.22  2.1e-3 6.6e-3   2.21   2.22    2.22   2.23   2.23     10   1.13
t0[71]      0.51  6.1e-4 1.6e-3   0.51   0.51    0.51   0.51   0.52      7   1.09
t0[72]      0.44  9.9e-4 1.8e-3   0.43   0.43    0.44   0.44   0.44      3   2.09
t0[73]      0.14  1.5e-4 3.2e-4   0.14   0.14    0.14   0.14   0.14      4   1.38
t0[74]      3.74    0.01   0.03   3.68   3.72    3.73   3.76   3.79      6   1.01
t0[75]      6.36  7.3e-3   0.01   6.34   6.35    6.35   6.36   6.39      3   1.79
t0[76]     41.16    0.06   0.17  40.81  41.04   41.17  41.29  41.46      8   1.15
t0[77]      0.66  4.1e-4 9.0e-4   0.66   0.66    0.66   0.66   0.66      5   1.58
t0[78]       0.2  5.4e-4 1.1e-3    0.2    0.2     0.2    0.2    0.2      4   1.26
t0[79]       0.2  1.9e-4 3.6e-4    0.2    0.2     0.2    0.2    0.2      4    2.0
t0[80]    278.63    1.32   2.66 272.65 277.41  279.34 280.57  282.2      4   1.48
t0[81]    577.73   26.92  61.54 477.09 537.03  577.12 614.06 733.72      5   1.55
t0[82]      7.44  4.7e-3 8.7e-3   7.43   7.43    7.44   7.45   7.46      3   2.66
mu[1]      -1.39  4.4e-3 7.9e-3   -1.4   -1.4   -1.39  -1.38  -1.38      3   1.84
mu[2]       0.07  7.6e-4 1.5e-3   0.07   0.07    0.07   0.07   0.07      4   1.43
mu[3]      -1.64  9.4e-4 2.3e-3  -1.65  -1.65   -1.64  -1.64  -1.64      6   1.42
mu[4]       0.19  2.8e-3 5.0e-3   0.18   0.18    0.19   0.19    0.2      3   2.52
mu[5]       2.72  2.9e-3 4.6e-3   2.72   2.72    2.72   2.73   2.73      2   2.87
mu[6]      -1.28  1.5e-3 3.1e-3  -1.28  -1.28   -1.28  -1.27  -1.27      4   2.15
mu[7]      -1.88    0.01   0.02  -1.93   -1.9   -1.87  -1.86  -1.86      3   1.86
mu[8]       1.55  1.1e-3 2.5e-3   1.54   1.55    1.55   1.55   1.55      6   1.33
mu[9]      -0.41  1.8e-3 3.4e-3  -0.42  -0.42   -0.41  -0.41  -0.41      4   1.98
mu[10]     -1.57  2.3e-3 3.8e-3  -1.57  -1.57   -1.57  -1.56  -1.56      3   2.27
mu[11]      1.96  2.1e-4 4.9e-4   1.96   1.96    1.96   1.96   1.96      6   1.27
mu[12]      0.96  3.2e-3 8.9e-3   0.95   0.96    0.96   0.97   0.98      8   1.08
mu[13]     -1.42  4.7e-3 8.8e-3  -1.44  -1.43   -1.42  -1.42  -1.41      3   1.77
mu[14]      2.49  3.5e-4 1.0e-3   2.49   2.49    2.49   2.49   2.49      8   1.37
mu[15]      2.23  4.6e-5 2.5e-4   2.23   2.23    2.23   2.23   2.23     30   1.11
mu[16]       0.9  1.2e-3 2.7e-3   0.89    0.9     0.9    0.9    0.9      5   1.26
mu[17]      0.24  5.4e-4 1.2e-3   0.24   0.24    0.24   0.24   0.24      5   1.25
mu[18]     -1.87  5.3e-4 1.3e-3  -1.87  -1.87   -1.87  -1.87  -1.87      6   1.01
mu[19]      2.41  1.5e-4 2.8e-4   2.41   2.41    2.41   2.41   2.41      4   1.46
mu[20]      1.62  3.7e-3 7.1e-3    1.6   1.61    1.62   1.62   1.63      4   1.65
mu[21]     -0.66    0.01   0.02   -0.7  -0.68   -0.67  -0.66  -0.61      4   1.68
mu[22]     -0.09  3.1e-3 6.0e-3   -0.1  -0.09   -0.09  -0.08  -0.08      4   1.76
mu[23]     -0.59  1.2e-3 2.2e-3   -0.6  -0.59   -0.59  -0.59  -0.59      3   1.88
mu[24]      0.88  2.4e-3 4.1e-3   0.87   0.88    0.88   0.88   0.89      3   2.01
mu[25]      1.98  7.3e-3   0.01   1.96   1.97    1.98   1.99    2.0      3   3.52
mu[26]      1.07  8.3e-4 1.5e-3   1.07   1.07    1.07   1.07   1.07      3   2.34
mu[27]      2.06  4.5e-4 1.5e-3   2.05   2.06    2.06   2.06   2.06     10   1.04
mu[28]     -0.64  9.3e-4 3.1e-3  -0.64  -0.64   -0.64  -0.63  -0.63     11   1.01
mu[29]     -1.83  5.2e-3   0.02  -1.86  -1.85   -1.83  -1.82   -1.8     10   1.34
mu[30]      1.75  3.8e-4 1.2e-3   1.75   1.75    1.75   1.75   1.75     10   1.26
mu[31]     -1.61  4.0e-3 6.6e-3  -1.62  -1.62   -1.61   -1.6   -1.6      3    2.7
mu[32]     -0.84  4.6e-3 8.2e-3  -0.85  -0.85   -0.84  -0.83  -0.82      3   1.75
mu[33]     -1.95  8.3e-4 1.9e-3  -1.96  -1.96   -1.95  -1.95  -1.95      5   1.05
mu[34]      -1.7  1.1e-3 2.3e-3  -1.71   -1.7    -1.7   -1.7   -1.7      4   1.78
mu[35]     -0.45  1.9e-3 4.1e-3  -0.46  -0.45   -0.45  -0.45  -0.44      5   1.34
mu[36]     -0.39    0.01   0.02  -0.43  -0.41   -0.39  -0.38  -0.36      3   2.56
mu[37]      1.07  6.7e-4 1.6e-3   1.06   1.07    1.07   1.07   1.07      6   1.54
mu[38]       0.3  1.4e-3 2.7e-3   0.29   0.29     0.3    0.3    0.3      4   1.69
mu[39]     -0.87  1.9e-3 6.5e-3  -0.89  -0.88   -0.87  -0.87  -0.86     12   1.13
mu[40]      0.96  2.6e-4 9.8e-4   0.96   0.96    0.96   0.96   0.97     14   1.15
mu[41]      1.24  4.7e-4 1.4e-3   1.24   1.24    1.24   1.24   1.24      8   1.07
mu[42]     -1.77  1.0e-3 2.6e-3  -1.78  -1.78   -1.77  -1.77  -1.77      6   1.02
mu[43]     -1.18  4.6e-3 8.0e-3  -1.19  -1.18   -1.18  -1.17  -1.16      3   2.13
mu[44]      4.65    0.03   0.05   4.57    4.6    4.65   4.68   4.74      4   1.54
mu[45]     -0.34    0.01   0.03  -0.38  -0.36   -0.34  -0.31  -0.27      6   1.47
mu[46]     -0.03  3.2e-3 5.8e-3  -0.05  -0.04   -0.03  -0.03  -0.02      3   2.47
mu[47]      3.49  3.6e-3 8.9e-3   3.47   3.48    3.48   3.49    3.5      6   1.11
mu[48]      1.52  9.5e-4 2.3e-3   1.52   1.52    1.52   1.52   1.53      6   1.32
mu[49]      0.84  3.9e-3 6.3e-3   0.83   0.84    0.84   0.85   0.85      3   2.36
mu[50]      0.05  8.9e-3   0.01   0.03   0.03    0.05   0.06   0.07      3   2.26
mu[51]     -0.37    0.02   0.03  -0.43   -0.4   -0.37  -0.34  -0.32      3   2.46
mu[52]      -1.7  5.5e-4 1.5e-3   -1.7   -1.7    -1.7   -1.7  -1.69      8   1.06
mu[53]     -1.02  3.5e-3 8.4e-3  -1.04  -1.03   -1.02  -1.02  -1.01      6   1.29
mu[54]     -2.08  1.0e-3 2.2e-3  -2.08  -2.08   -2.08  -2.07  -2.07      5   1.23
mu[55]     -1.17  5.0e-4 1.4e-3  -1.17  -1.17   -1.17  -1.17  -1.17      8    1.0
mu[56]     -0.12  3.8e-3 6.0e-3  -0.13  -0.13   -0.12  -0.11  -0.11      3   2.67
mu[57]     -1.64  7.1e-3   0.01  -1.68  -1.65   -1.64  -1.64  -1.62      4    1.4
mu[58]      2.34    0.07   0.12   2.11   2.24    2.36   2.44   2.51      3   2.52
mu[59]      0.56  1.9e-3 3.1e-3   0.56   0.56    0.56   0.56   0.57      3   2.47
mu[60]      0.56  1.7e-3 2.9e-3   0.55   0.55    0.56   0.56   0.56      3   2.27
mu[61]     -0.21  3.4e-3 6.7e-3  -0.22  -0.21   -0.21   -0.2  -0.19      4   1.78
mu[62]      0.85  8.2e-4 1.5e-3   0.85   0.85    0.85   0.85   0.85      3   2.21
mu[63]     -0.56  5.3e-4 1.5e-3  -0.56  -0.56   -0.56  -0.56  -0.55      8   1.17
mu[64]     -0.07  4.8e-3 9.6e-3  -0.08  -0.08   -0.07  -0.06  -0.05      4   1.17
mu[65]      1.81    0.02   0.03   1.74   1.77    1.81   1.83   1.85      3   2.42
mu[66]      0.78  2.3e-3 5.5e-3   0.77   0.78    0.78   0.79   0.79      6   1.34
mu[67]      0.76  7.5e-4 1.8e-3   0.75   0.75    0.76   0.76   0.76      6   1.21
mu[68]      1.23  6.7e-4 1.3e-3   1.23   1.23    1.23   1.24   1.24      4   1.85
mu[69]      0.58    0.03   0.05   0.48   0.54    0.59   0.62   0.66      3   2.22
mu[70]     -0.39    0.01   0.02  -0.43  -0.41   -0.38  -0.38  -0.36      3    1.8
mu[71]    9.2e-3  1.1e-3 3.0e-3 4.2e-3 6.6e-3  9.1e-3   0.01   0.02      7   1.16
mu[72]      1.66  7.9e-4 1.6e-3   1.66   1.66    1.66   1.66   1.66      4   2.19
mu[73]      2.67  8.8e-5 3.7e-4   2.67   2.67    2.67   2.67   2.67     17   1.13
mu[74]      0.57  2.0e-3 4.6e-3   0.56   0.57    0.57   0.58   0.58      5   1.04
mu[75]     -1.36  8.6e-4 2.4e-3  -1.36  -1.36   -1.36  -1.36  -1.35      8   1.29
mu[76]      0.08  8.7e-4 2.4e-3   0.07   0.08    0.08   0.08   0.08      8   1.18
mu[77]     -1.69  4.0e-3 6.9e-3   -1.7   -1.7   -1.69  -1.69  -1.68      3    2.3
mu[78]       2.1  3.4e-3 5.8e-3    2.1    2.1     2.1   2.11   2.11      3   2.02
mu[79]     -0.63  4.0e-3 7.4e-3  -0.64  -0.63   -0.62  -0.62  -0.62      3   1.93
mu[80]      5.71  4.4e-3 8.8e-3   5.69   5.71    5.72   5.72   5.73      4   1.48
mu[81]      6.38    0.05    0.1    6.2   6.32    6.39   6.45   6.62      5   1.58
mu[82]      2.99  2.9e-4 5.4e-4   2.99   2.99    2.99   2.99   2.99      3   1.97
alpha[1]    0.67  9.8e-4 1.8e-3   0.67   0.67    0.67   0.68   0.68      3   1.68
