SID,corr,p
sid2,-0.27120632097471553,0.00022172511273309392
sid3,0.09115370021391117,0.24137434349662143
sid4,-0.16399632635907482,0.039494690569111715
sid5,0.03151316358192186,0.6860057203403895
sid6,-0.38711605998251575,0.0024542456641826536
sid7,-0.038700912072259355,0.5979861453855482
sid8,0.2678265067153282,0.0003133304563629724
sid9,0.18287129758311466,0.02366299436898115
sid12,0.11414232961214989,0.1546124409746811
sid15,-0.05669399405274266,0.46141116708658214
sid16,-0.007194244604316546,0.9327691225772846
sid17,-0.3175571163932798,0.00019565663741017488
sid18,-0.3125973527591453,0.0002231770231204056
sid21,0.5000744444837182,3.171052776432678e-13
sid22,0.09642979942805487,0.22220198353511963
sid24,0.4270415501297562,3.330662238380203e-08
sid26,-0.09843584828696504,0.20565880960339258
sid27,0.0781925371755248,0.2981496219772495
sid28,0.4074411100769658,1.7223555095995998e-07
sid31,-0.1742691669600054,0.026561091185833784
sid32,0.04451160176908978,0.5496314604678074
sid33,0.1830210959965121,0.03497709883915459
sid35,-0.010898741872562633,0.8826257925497771
sid36,0.18229139968487634,0.02991003940693549
sid39,0.4388977414242332,7.137927865710463e-10
sid40,0.6541173484396794,1.9659941879713153e-25
sid41,0.02095478989575966,0.7944833560680312
sid42,-0.09484072153082336,0.2299507038253494
sid48,0.1440833457495495,0.055010583471101465
sid50,0.26228517787826755,0.00022885186218704777
sid51,-0.01333274856365949,0.8704967991570053
sid52,0.04791665243228767,0.5148973589639374
sid54,0.3411037133718504,4.6104562672380567e-07
sid55,0.3267709284383401,2.328907990599023e-06
sid56,0.2709411156808487,0.0009800124756803
sid57,0.10456885868810095,0.21067474386293966
sid59,0.45720941854949804,5.172359352577603e-09
sid60,-0.10233707961413958,0.20511858262314922
sid61,-0.13025869055153602,0.07324782678787896
sid63,-0.04194942394676507,0.5972468882965073
sid66,0.15919597886416856,0.04572386816304543
sid67,0.3620528276331356,3.4137214695708908e-06
sid69,0.14325327010428013,0.07347677959153569
sid71,0.08147325304794995,0.26894500067525196
sid73,0.04903690051365357,0.5039561039223361
sid74,0.5871282960318673,4.390832965752848e-19
sid76,-0.018814019233979618,0.786864985792939
sid77,0.01808943611011442,0.8105919360105882
sid78,-0.1595261661334688,0.3254822763865669
sid80,-0.0328489938921871,0.6715789265952591
sid81,-0.009278310178362397,0.9090751591333291
sid82,0.021193786372929145,0.7857315955392036
sid83,0.12634430801573412,0.21751446209969916
sid86,0.14308139422274313,0.08068567951655632
sid87,0.5876726405198915,4.4906892554146886e-17
sid88,0.49663662983445334,2.1091782076645802e-10
sid89,-0.03671526335408406,0.7140968142029548
sid90,-0.14570052707042533,0.09812022061104884
sid92,0.3512506548034174,0.03303239376455637
sid93,-0.0130331870394691,0.8763572892052354
sid94,-0.01166667853999774,0.8935679498591049
sid95,-0.08090270974879148,0.3016001032123755
sid96,-0.029906214499871662,0.7029679239719556
sid98,0.1348314362882177,0.09995998955969548
sid99,0.6129356745129833,1.5661254147923638e-16
sid100,0.5966112964520265,2.4215714419541452e-06
sid102,0.08003382660296865,0.33191329112276946
sid104,0.2283955214921099,0.010411895173395136
sid107,0.12314277127717038,0.14285765626142535
sid110,-0.016805135921112914,0.8278101904967121
sid111,0.26078788157562105,0.003184161598232723
sid113,0.13175359364741235,0.10449918504648009
sid116,0.049594038717199376,0.5707844669807747
sid117,0.3457551708602017,2.0485163437454198e-05
sid120,-0.045027076552275905,0.723866315621545
sid121,-0.23552858521388412,0.0024733580586132776
sid122,0.12269413351496741,0.12580453171886546
sid123,0.1551155793384499,0.05016420137652173
sid124,-0.25561644320784055,0.0011049632683638037
sid125,0.052576828601110584,0.5186338053869606
sid126,-0.5861486638985287,5.015519541368667e-15
sid127,0.20876407794265497,0.003941263201725339
sid128,,
sid130,0.0328882650364725,0.6656906393651956
sid131,-0.10198408435488238,0.2222346956349162
sid132,-0.07404879974802006,0.39695322308613235
sid133,0.7311570271978467,1.4513047791114239e-37
sid138,-0.05573301548994902,0.48953783897609016
sid139,0.3864329626238354,2.0338690941814527e-06
sid140,-0.027306752568539237,0.694707454509442
sid142,-0.07343407075071931,0.3441557381498973
sid143,-0.2016499646394858,0.01688694428676305
sid144,-0.23356749896365478,0.018146202692497358
sid145,-0.017942571354136194,0.8333453933925425
sid146,0.4086223893934323,0.014805534909138753
sid148,-0.020827403639120275,0.8022855348679935
sid149,-0.5169325576479138,2.826711422296643e-13
sid150,0.008852006301016816,0.9203796005906812
sid151,0.1388214434137158,0.04397986394683693
sid152,0.07719928201854286,0.5378236731575922
sid153,-0.25737109982348333,0.00105635497706934
sid154,-0.17502469158666537,0.02498740088788701
sid155,0.24691316362327562,0.0030533883361810467
sid156,0.20724561347312717,0.02693416257746432
sid160,0.3605249039553075,3.2682203047957035e-06
sid162,0.3449957290686991,1.51595344514143e-06
sid163,0.05760359610414351,0.49591915013699206
sid164,0.09862880997027056,0.17928427653829837
sid165,0.34541061492999653,2.7303047937307907e-05
sid167,0.11620869694247879,0.20624251091412918
sid168,-0.009587724780568583,0.9076128140043005
sid169,0.06750598262673642,0.3706167431227273
sid172,-0.431807266304642,3.417980900577304e-06
sid174,,
sid178,0.1778814696621244,0.020302043333358815
sid180,0.20712583540536042,0.006725900270383162
sid181,0.19982412683788245,0.009406254156554928
sid182,0.4403821401837781,2.6617486278478118e-08
sid183,-0.014753541197245795,0.8671712214805123
sid184,-0.04924825146955176,0.552236788389608
sid185,0.3043899767777813,0.00014475596890117201
sid186,-0.0061264276779039815,0.93851959479502
