SID,corr,p
sid841,0.853377111893532,3.89376793759152E-45
sid531,0.845495800262857,3.12023132147337E-37
sid1211,0.838472327061814,2.09539803666815E-09
sid396,0.81239553108098,4.3358173032258E-47
sid292,0.791247512999325,1.69806804649351E-20
sid1156,0.777769194139968,6.30553721008544E-37
sid1236,0.765939933114137,2.78744130498296E-44
sid192,0.756830687608953,2.63259475790565E-37
sid1836,0.756722744624638,2.41359654186818E-31
sid1397,0.756709683144131,5.7036463030043E-31
sid805,0.751385363953835,3.81273178351571E-28
sid894,0.74986065513108,1.91250875012119E-25
sid139,0.734042315826137,2.69684376441233E-25
sid1007,0.73309060320694,2.12818825056122E-27
sid1489,0.727685159953899,7.66365756452109E-26
sid802,0.724881032201699,1.14782101582677E-28
sid549,0.714212432073822,2.91110201108997E-26
sid1453,0.7112185474941,1.59428738903746E-35
sid1875,0.704780650487201,1.09830791156926E-26
sid979,0.699469606127012,6.94324825283737E-27
sid1395,0.689813498955209,5.45049593314037E-32
sid498,0.68793834143429,4.51692734066892E-22
sid1593,0.67259373283108,4.46898899185235E-23
sid199,0.671662309684067,8.84455201111242E-19
sid1039,0.642362110893525,1.41284306293881E-20
sid1252,0.636098654268883,6.13781519083608E-23
sid1223,0.634822600882627,4.33224439508939E-14
sid905,0.632456385358169,5.54951225808105E-15
sid416,0.626564401424917,1.67945424157312E-18
sid554,0.619305638357182,5.33934722017764E-18
sid1158,0.599103907756741,3.65479754449927E-21
sid1018,0.59854692758031,1.12247357931616E-14
sid1342,0.596365031620707,1.86086597376573E-20
sid1665,0.595937280067076,3.55519930854755E-13
sid1133,0.593047973995714,1.97116763819815E-21
sid1699,0.589943366993554,1.51725169302619E-13
sid186,0.58933745061454,1.96793315358133E-16
sid1624,0.58842516396193,4.95328393324545E-14
sid443,0.580844039152047,2.31753837104953E-14
sid1652,0.578931257380879,1.74900438558622E-18
sid1497,0.57685419891683,3.82035774088858E-14
sid241,0.575645003278334,1.85006650220992E-20
sid1219,0.575617171430174,3.70895843415771E-18
sid1514,0.574455444277929,3.9006263920574E-16
sid1870,0.57170459936283,5.96392889136527E-09
sid713,0.564928745000049,2.19366687170738E-11
sid1074,0.560923016774299,3.85072263538394E-14
sid1148,0.559248759443881,7.0647075435964E-15
sid535,0.5592209067766,5.86104270468702E-15
sid1087,0.558929394434778,1.0600321103819E-13
sid1893,0.558706454569966,6.28010259218947E-15
sid1510,0.558501181925186,3.36912866460748E-10
sid1116,0.549552402782656,8.44028946575185E-15
sid916,0.544672425277621,3.11465902569519E-17
sid1313,0.544051453000554,2.40847567121814E-17
sid814,0.543912520098927,7.94637199873355E-11
sid1827,0.543088147106815,1.16194846695108E-15
sid1221,0.540871525888549,1.10278985956903E-14
sid67,0.538740893495391,4.0275072312648E-13
sid862,0.537851935155991,3.05870449773354E-16
sid953,0.534850822157163,9.65741683508415E-14
sid646,0.530459849827178,8.97340364585386E-13
sid613,0.527527366833472,7.35464312254863E-15
sid1355,0.526869656078574,1.87668296957042E-07
sid59,0.525139966816232,7.28195188284193E-12
sid1065,0.525128424221936,3.22138648133844E-14
sid565,0.521139198501718,1.60638928611354E-12
sid563,0.521080306640306,1.90069816227438E-12
sid477,0.519256324072762,4.6757421282834E-10
sid286,0.516946357502115,7.95869435851471E-14
