,index,Average Potential Outcome,Sensitivity Parameter
0,"Y((0.38, 0))",,-0.5
1,"Y((0.38, 0))",,-0.5
2,"Y((0.38, 0))",,-0.5
3,"Y((0.38, 0))",,-0.5
4,"Y((0.38, 0))",,-0.5
5,"Y((0.38, 0))",,-0.5
6,"Y((0.38, 0))",,-0.5
7,"Y((0.38, 0))",,-0.5
8,"Y((0.38, 0))",,-0.5
9,"Y((0.38, 0))",,-0.5
10,"Y((0.38, 0))",,-0.5
11,"Y((0.38, 0))",,-0.5
12,"Y((0.38, 0))",,-0.5
13,"Y((0.38, 0))",,-0.5
14,"Y((0.38, 0))",,-0.5
15,"Y((0.62, 0))",0.6212121212121212,-0.5
16,"Y((0.62, 0))",0.5066666666666667,-0.5
17,"Y((0.62, 0))",0.578125,-0.5
18,"Y((0.62, 0))",0.5956043956043956,-0.5
19,"Y((0.62, 0))",0.6000000000000001,-0.5
20,"Y((0.62, 0))",0.49027777777777776,-0.5
21,"Y((0.62, 0))",0.5915492957746479,-0.5
22,"Y((0.62, 0))",0.5555555555555556,-0.5
23,"Y((0.62, 0))",0.4117647058823529,-0.5
24,"Y((0.62, 0))",0.49000000000000005,-0.5
25,"Y((0.62, 0))",0.5675675675675675,-0.5
26,"Y((0.62, 0))",0.5599999999999999,-0.5
27,"Y((0.62, 0))",0.36,-0.5
28,"Y((0.62, 0))",0.5454545454545454,-0.5
29,"Y((0.62, 0))",0.5636363636363636,-0.5
30,"Y((0.88, 0))",0.6736111111111112,-0.5
31,"Y((0.88, 0))",0.5820224719101124,-0.5
32,"Y((0.88, 0))",0.6597701149425287,-0.5
33,"Y((0.88, 0))",0.6467836257309942,-0.5
34,"Y((0.88, 0))",0.6909090909090909,-0.5
35,"Y((0.88, 0))",0.6634920634920635,-0.5
36,"Y((0.88, 0))",0.597037037037037,-0.5
37,"Y((0.88, 0))",0.6819277108433736,-0.5
38,"Y((0.88, 0))",0.573469387755102,-0.5
39,"Y((0.88, 0))",0.5333333333333333,-0.5
40,"Y((0.88, 0))",0.6829787234042554,-0.5
41,"Y((0.88, 0))",0.573076923076923,-0.5
42,"Y((0.88, 0))",0.6567164179104478,-0.5
43,"Y((0.88, 0))",0.5815789473684211,-0.5
44,"Y((0.88, 0))",0.6551724137931034,-0.5
45,"Y((0.38, 0))",0.5131313131313131,-0.3888888888888889
46,"Y((0.38, 0))",0.7333333333333334,-0.3888888888888889
47,"Y((0.38, 0))",0.6666666666666666,-0.3888888888888889
48,"Y((0.38, 0))",0.7767441860465116,-0.3888888888888889
49,"Y((0.38, 0))",0.4,-0.3888888888888889
50,"Y((0.38, 0))",0.2916666666666667,-0.3888888888888889
51,"Y((0.38, 0))",0.49879518072289164,-0.3888888888888889
52,"Y((0.38, 0))",0.2,-0.3888888888888889
53,"Y((0.38, 0))",0.4000000000000001,-0.3888888888888889
54,"Y((0.38, 0))",0.6631578947368422,-0.3888888888888889
55,"Y((0.38, 0))",0.7090909090909091,-0.3888888888888889
56,"Y((0.38, 0))",0.527536231884058,-0.3888888888888889
57,"Y((0.38, 0))",0.4444444444444444,-0.3888888888888889
58,"Y((0.38, 0))",0.6531914893617022,-0.3888888888888889
59,"Y((0.38, 0))",0.631578947368421,-0.3888888888888889
60,"Y((0.62, 0))",0.5504273504273505,-0.3888888888888889
61,"Y((0.62, 0))",0.31428571428571433,-0.3888888888888889
62,"Y((0.62, 0))",0.2857142857142857,-0.3888888888888889
63,"Y((0.62, 0))",0.36666666666666664,-0.3888888888888889
64,"Y((0.62, 0))",,-0.3888888888888889
65,"Y((0.62, 0))",0.3272727272727272,-0.3888888888888889
66,"Y((0.62, 0))",0.41643835616438357,-0.3888888888888889
67,"Y((0.62, 0))",0.6,-0.3888888888888889
68,"Y((0.62, 0))",,-0.3888888888888889
69,"Y((0.62, 0))",0.55,-0.3888888888888889
70,"Y((0.62, 0))",0.1,-0.3888888888888889
71,"Y((0.62, 0))",0.27710843373493976,-0.3888888888888889
72,"Y((0.62, 0))",0.41250000000000003,-0.3888888888888889
73,"Y((0.62, 0))",0.523076923076923,-0.3888888888888889
74,"Y((0.62, 0))",0.3127272727272727,-0.3888888888888889
75,"Y((0.88, 0))",0.7439252336448597,-0.3888888888888889
76,"Y((0.88, 0))",0.6,-0.3888888888888889
77,"Y((0.88, 0))",0.6431372549019607,-0.3888888888888889
78,"Y((0.88, 0))",0.631496062992126,-0.3888888888888889
79,"Y((0.88, 0))",0.664516129032258,-0.3888888888888889
80,"Y((0.88, 0))",0.8,-0.3888888888888889
81,"Y((0.88, 0))",0.7028901734104046,-0.3888888888888889
82,"Y((0.88, 0))",0.6944444444444444,-0.3888888888888889
83,"Y((0.88, 0))",0.5625000000000001,-0.3888888888888889
84,"Y((0.88, 0))",0.6677685950413224,-0.3888888888888889
85,"Y((0.88, 0))",0.6136986301369863,-0.3888888888888889
86,"Y((0.88, 0))",0.7338983050847457,-0.3888888888888889
87,"Y((0.88, 0))",0.6526315789473685,-0.3888888888888889
88,"Y((0.88, 0))",0.6591549295774648,-0.3888888888888889
89,"Y((0.88, 0))",0.6778761061946902,-0.3888888888888889
90,"Y((0.38, 0))",0.5958333333333333,-0.2777777777777778
91,"Y((0.38, 0))",0.6727272727272727,-0.2777777777777778
92,"Y((0.38, 0))",0.38095238095238093,-0.2777777777777778
93,"Y((0.38, 0))",0.45384615384615384,-0.2777777777777778
94,"Y((0.38, 0))",0.5454545454545454,-0.2777777777777778
95,"Y((0.38, 0))",0.34545454545454546,-0.2777777777777778
96,"Y((0.38, 0))",0.4,-0.2777777777777778
97,"Y((0.38, 0))",0.8,-0.2777777777777778
98,"Y((0.38, 0))",0.5684210526315789,-0.2777777777777778
99,"Y((0.38, 0))",0.38461538461538464,-0.2777777777777778
100,"Y((0.38, 0))",0.7444444444444444,-0.2777777777777778
101,"Y((0.38, 0))",0.32631578947368417,-0.2777777777777778
102,"Y((0.38, 0))",0.6363636363636364,-0.2777777777777778
103,"Y((0.38, 0))",0.45098039215686275,-0.2777777777777778
104,"Y((0.38, 0))",0.5142857142857143,-0.2777777777777778
105,"Y((0.62, 0))",0.49230769230769234,-0.2777777777777778
106,"Y((0.62, 0))",0.8,-0.2777777777777778
107,"Y((0.62, 0))",0.38333333333333336,-0.2777777777777778
108,"Y((0.62, 0))",0.7157894736842105,-0.2777777777777778
109,"Y((0.62, 0))",0.17142857142857143,-0.2777777777777778
110,"Y((0.62, 0))",,-0.2777777777777778
111,"Y((0.62, 0))",0.4692307692307693,-0.2777777777777778
112,"Y((0.62, 0))",,-0.2777777777777778
113,"Y((0.62, 0))",0.2,-0.2777777777777778
114,"Y((0.62, 0))",1.0,-0.2777777777777778
115,"Y((0.62, 0))",0.2,-0.2777777777777778
116,"Y((0.62, 0))",,-0.2777777777777778
117,"Y((0.62, 0))",,-0.2777777777777778
118,"Y((0.62, 0))",0.43333333333333335,-0.2777777777777778
119,"Y((0.62, 0))",0.5538461538461539,-0.2777777777777778
120,"Y((0.88, 0))",0.7132352941176471,-0.2777777777777778
121,"Y((0.88, 0))",0.7122807017543858,-0.2777777777777778
122,"Y((0.88, 0))",0.568,-0.2777777777777778
123,"Y((0.88, 0))",0.6151162790697674,-0.2777777777777778
124,"Y((0.88, 0))",0.7100000000000001,-0.2777777777777778
125,"Y((0.88, 0))",0.7,-0.2777777777777778
126,"Y((0.88, 0))",0.6711111111111111,-0.2777777777777778
127,"Y((0.88, 0))",0.7000000000000001,-0.2777777777777778
128,"Y((0.88, 0))",0.5107142857142858,-0.2777777777777778
129,"Y((0.88, 0))",0.6037735849056604,-0.2777777777777778
130,"Y((0.88, 0))",0.5925,-0.2777777777777778
131,"Y((0.88, 0))",0.681081081081081,-0.2777777777777778
132,"Y((0.88, 0))",0.6722222222222223,-0.2777777777777778
133,"Y((0.88, 0))",0.5511111111111112,-0.2777777777777778
134,"Y((0.88, 0))",0.7370629370629371,-0.2777777777777778
