,index,Average Potential Outcome
3,"Y((0.12, 0))",0.4
7,"Y((0.12, 0))",0.3852941176470588
10,"Y((0.12, 0))",0.6065573770491803
11,"Y((0.12, 0))",0.7428571428571429
12,"Y((0.12, 0))",0.2
13,"Y((0.12, 0))",0.1
15,"Y((0.12, 0))",0.4
18,"Y((0.12, 0))",0.6
22,"Y((0.12, 0))",0.45
28,"Y((0.12, 0))",0.2
30,"Y((0.12, 0))",0.7000000000000001
31,"Y((0.12, 0))",0.3230769230769231
34,"Y((0.12, 0))",0.30000000000000004
36,"Y((0.12, 0))",0.48571428571428565
38,"Y((0.12, 0))",0.5649122807017545
39,"Y((0.12, 0))",0.6
40,"Y((0.12, 0))",0.5818181818181819
43,"Y((0.12, 0))",0.4386206896551724
44,"Y((0.12, 0))",0.5599999999999999
45,"Y((0.12, 0))",0.0
46,"Y((0.12, 0))",0.39999999999999997
50,"Y((0.12, 0))",0.2
52,"Y((0.12, 0))",0.6
55,"Y((0.12, 0))",0.25
60,"Y((0.12, 0))",0.38367346938775504
63,"Y((0.12, 0))",0.4
68,"Y((0.12, 0))",1.0
69,"Y((0.12, 0))",0.275
70,"Y((0.12, 0))",0.5739130434782609
71,"Y((0.12, 0))",0.7999999999999999
73,"Y((0.12, 0))",0.2666666666666667
77,"Y((0.12, 0))",0.5
80,"Y((0.12, 0))",0.2
86,"Y((0.12, 0))",0.2
88,"Y((0.12, 0))",0.8
91,"Y((0.12, 0))",0.2
92,"Y((0.12, 0))",0.2
93,"Y((0.12, 0))",0.0
94,"Y((0.12, 0))",0.36000000000000004
96,"Y((0.12, 0))",0.4117647058823529
105,"Y((0.12, 0))",0.35000000000000003
106,"Y((0.12, 0))",0.0
108,"Y((0.12, 0))",0.2
109,"Y((0.12, 0))",0.43829787234042555
110,"Y((0.12, 0))",0.5
111,"Y((0.12, 0))",0.4000000000000001
112,"Y((0.12, 0))",0.32631578947368417
113,"Y((0.12, 0))",0.4645161290322581
114,"Y((0.12, 0))",0.44516129032258067
120,"Y((0.12, 0))",0.7333333333333334
123,"Y((0.12, 0))",0.4666666666666666
126,"Y((0.12, 0))",0.37083333333333335
129,"Y((0.12, 0))",0.3692307692307693
130,"Y((0.12, 0))",0.30000000000000004
132,"Y((0.12, 0))",0.6333333333333333
134,"Y((0.12, 0))",0.2
136,"Y((0.12, 0))",0.8
140,"Y((0.12, 0))",0.4
157,"Y((0.38, 0))",0.49729729729729727
160,"Y((0.38, 0))",0.3851851851851852
180,"Y((0.38, 0))",0.4
186,"Y((0.38, 0))",0.38
188,"Y((0.38, 0))",0.7161290322580646
190,"Y((0.38, 0))",0.5142857142857143
193,"Y((0.38, 0))",0.5209876543209877
204,"Y((0.38, 0))",0.2
210,"Y((0.38, 0))",0.38
213,"Y((0.38, 0))",0.6
220,"Y((0.38, 0))",0.7999999999999999
221,"Y((0.38, 0))",0.4
223,"Y((0.38, 0))",0.26666666666666666
246,"Y((0.38, 0))",0.6
259,"Y((0.38, 0))",0.4782608695652174
260,"Y((0.38, 0))",0.6
261,"Y((0.38, 0))",0.26666666666666666
263,"Y((0.38, 0))",0.52
264,"Y((0.38, 0))",0.42857142857142855
276,"Y((0.38, 0))",0.74
279,"Y((0.38, 0))",0.21818181818181817
307,"Y((0.62, 0))",0.59
310,"Y((0.62, 0))",0.4
338,"Y((0.62, 0))",0.7416666666666666
343,"Y((0.62, 0))",0.6742857142857144
360,"Y((0.62, 0))",0.6000000000000001
370,"Y((0.62, 0))",0.4000000000000001
396,"Y((0.62, 0))",0.8000000000000002
413,"Y((0.62, 0))",0.4
426,"Y((0.62, 0))",0.7333333333333334
450,"Y((0.88, 0))",0.5
453,"Y((0.88, 0))",0.7000000000000001
454,"Y((0.88, 0))",0.8
457,"Y((0.88, 0))",0.6674698795180724
458,"Y((0.88, 0))",0.8
460,"Y((0.88, 0))",0.7425
461,"Y((0.88, 0))",0.6181818181818182
462,"Y((0.88, 0))",0.6000000000000001
463,"Y((0.88, 0))",0.5692307692307692
465,"Y((0.88, 0))",0.5
469,"Y((0.88, 0))",0.6
470,"Y((0.88, 0))",0.72
471,"Y((0.88, 0))",0.8
472,"Y((0.88, 0))",0.44000000000000006
475,"Y((0.88, 0))",0.58
476,"Y((0.88, 0))",0.6
478,"Y((0.88, 0))",0.5428571428571428
480,"Y((0.88, 0))",0.725
481,"Y((0.88, 0))",0.5058823529411766
484,"Y((0.88, 0))",1.0
485,"Y((0.88, 0))",0.6
486,"Y((0.88, 0))",0.6222222222222222
488,"Y((0.88, 0))",0.6562770562770562
489,"Y((0.88, 0))",0.2
490,"Y((0.88, 0))",0.6195652173913043
491,"Y((0.88, 0))",0.6
492,"Y((0.88, 0))",0.45
493,"Y((0.88, 0))",0.671559633027523
494,"Y((0.88, 0))",0.7384615384615384
495,"Y((0.88, 0))",0.8000000000000002
496,"Y((0.88, 0))",0.6470588235294118
497,"Y((0.88, 0))",0.4428571428571429
498,"Y((0.88, 0))",0.4
500,"Y((0.88, 0))",0.76
502,"Y((0.88, 0))",0.6
504,"Y((0.88, 0))",0.6000000000000001
505,"Y((0.88, 0))",0.6
506,"Y((0.88, 0))",0.5
508,"Y((0.88, 0))",0.6
510,"Y((0.88, 0))",0.7769230769230769
511,"Y((0.88, 0))",0.5
513,"Y((0.88, 0))",0.6588235294117648
514,"Y((0.88, 0))",0.6
515,"Y((0.88, 0))",0.3666666666666667
518,"Y((0.88, 0))",0.2
519,"Y((0.88, 0))",0.64
520,"Y((0.88, 0))",0.6320000000000001
521,"Y((0.88, 0))",0.5777777777777777
523,"Y((0.88, 0))",0.6137931034482759
526,"Y((0.88, 0))",0.5333333333333333
527,"Y((0.88, 0))",1.0
530,"Y((0.88, 0))",0.6285714285714287
533,"Y((0.88, 0))",0.4
534,"Y((0.88, 0))",0.8
536,"Y((0.88, 0))",0.4
539,"Y((0.88, 0))",0.5714285714285714
541,"Y((0.88, 0))",0.7047619047619048
542,"Y((0.88, 0))",0.5
543,"Y((0.88, 0))",0.5333333333333333
544,"Y((0.88, 0))",0.6736842105263158
545,"Y((0.88, 0))",0.8
546,"Y((0.88, 0))",0.676056338028169
548,"Y((0.88, 0))",0.8
552,"Y((0.88, 0))",0.5666666666666667
555,"Y((0.88, 0))",0.6307692307692307
556,"Y((0.88, 0))",0.6
558,"Y((0.88, 0))",0.8
559,"Y((0.88, 0))",0.585
560,"Y((0.88, 0))",0.6
561,"Y((0.88, 0))",0.7999999999999999
562,"Y((0.88, 0))",0.6684210526315789
563,"Y((0.88, 0))",0.5622641509433962
564,"Y((0.88, 0))",0.6457142857142858
566,"Y((0.88, 0))",0.6
567,"Y((0.88, 0))",0.4
569,"Y((0.88, 0))",0.6
570,"Y((0.88, 0))",0.6318181818181817
571,"Y((0.88, 0))",0.8
573,"Y((0.88, 0))",0.7
576,"Y((0.88, 0))",0.584126984126984
579,"Y((0.88, 0))",0.5866666666666667
580,"Y((0.88, 0))",0.35000000000000003
582,"Y((0.88, 0))",0.45
584,"Y((0.88, 0))",0.675
586,"Y((0.88, 0))",0.44000000000000006
589,"Y((0.88, 0))",0.3
590,"Y((0.88, 0))",0.5777777777777777
593,"Y((0.88, 0))",1.0
596,"Y((0.88, 0))",0.8
