,Baseline,0.10 - 0.45,0.45 - 0.80,0.80 - 1.00
Gender,0.514344262295082,0.4618834080717489,0.519774011299435,0.4689119170984456
Age,57.679774590163944,59.519775784753364,59.789943502824855,61.013575129533685
marrital,0.4733606557377049,0.47533632286995514,0.4745762711864407,0.5699481865284974
Hx CVA (including TIA),0.18237704918032788,0.17040358744394618,0.1807909604519774,0.22020725388601037
Hx HTN,0.48565573770491804,0.5112107623318386,0.5536723163841808,0.5673575129533679
Hx Sz /epilepsy,0.14959016393442623,0.18385650224215247,0.1864406779661017,0.23575129533678757
Hx brain surgery,0.06352459016393443,0.07623318385650224,0.12429378531073447,0.18134715025906736
Hx CKD,0.125,0.08520179372197309,0.12429378531073447,0.12694300518134716
Hx CAD/MI,0.16598360655737704,0.13901345291479822,0.1807909604519774,0.15803108808290156
Hx CHF,0.06557377049180328,0.12556053811659193,0.06779661016949153,0.10103626943005181
Hx DM,0.19262295081967212,0.2062780269058296,0.2598870056497175,0.21243523316062177
Hx of HLD,0.30327868852459017,0.242152466367713,0.3389830508474576,0.31865284974093266
Hx tobacco (including ex-smokers),0.45286885245901637,0.49327354260089684,0.4971751412429379,0.4378238341968912
Hx ETOH abuse any time in their life (just when in the hx is mentioned),0.25,0.2242152466367713,0.21468926553672316,0.21243523316062177
"Hx other substance abuse, any time in their life",0.13524590163934427,0.12556053811659193,0.0847457627118644,0.11658031088082901
Hx cancer (other than CNS cancer),0.16188524590163936,0.18834080717488788,0.21468926553672316,0.17098445595854922
Hx CNS cancer,0.0389344262295082,0.07623318385650224,0.1016949152542373,0.13212435233160622
Hx COPD/ Asthma,0.11475409836065574,0.17488789237668162,0.13559322033898305,0.14766839378238342
"premorbid MRS before admission  (modified ranking scale),before admission",1.014344262295082,1.1704035874439462,1.2429378531073447,1.4430051813471503
iMV  (initial (on admission) mechanical ventilation),0.5266393442622951,0.484304932735426,0.3954802259887006,0.39896373056994816
Primary systemic dx Sepsis/Shock,0.12295081967213115,0.12556053811659193,0.11864406779661017,0.15025906735751296
Worst GCS in 1st 24,7.725409836065574,8.4304932735426,9.254237288135593,9.038860103626943
neuro_dx_Seizures/status epilepticus,0.24795081967213115,0.2825112107623318,0.24858757062146894,0.2979274611398964
prim_dx_Respiratory disorders,0.2889344262295082,0.31390134529147984,0.2711864406779661,0.32642487046632124
mRS,4.161885245901639,4.161434977578475,4.423728813559322,4.564766839378239
E,0.007039040023700944,0.2752782463272577,0.6315827106900787,0.9672679678795176
lacosamide,0.1871107172809492,0.3321541227550285,0.2431086193497326,0.27862083815232486
levetiracetam,5.0002723118005585,6.7557658205821856,7.051736191111813,7.216545153441947
midazolam,0.008778257568844755,0.01624342412136212,0.03007547883135069,0.021383657147806583
pentobarbital,0.02681518557714645,0.039009725470573006,0.11814943268665908,0.30504124082854955
phenobarbital,0.2687201557812481,0.220461167087895,0.759056265940315,0.29119318973320835
propofol,2.961703154987606,2.34629919333091,2.244109360254264,1.7142691497468219
valproate,0.1973389309609705,0.5157257945696073,0.8276955269288405,0.770348472254559
alpha0,-3.4587207951304175,-0.22415543801294666,0.19340301875840757,0.9877795408503826
alpha[1],0.14649835285840548,0.26333471735102276,0.20235614719146217,0.23980581870592735
alpha[2],0.17844648843549527,0.1843103658430105,0.24100051793143987,0.21652919195931836
b[lacosamide],0.7676504619573895,0.5267405592334595,0.21680309045658397,0.4657490944395674
b[levetiracetam],6.078546625927052,4.485481193935206,1.626873148946558,0.5596026664581695
b[midazolam],2.3306083131780593,1.7217946211243957,2.4529539945366023,0.761790070998156
b[pentobarbital],0.00474302281469705,0.02090549963049256,0.001001802341286887,0.06375456862966229
b[phenobarbital],0.2606388379201412,0.12048897293085535,0.049280985234573756,0.21653922502158876
b[propofol],5.72753633524355,2.712596482544603,4.45980514927741,1.8755746925445818
b[valproate],0.26074659147910223,0.9284919187877241,0.21901127604231085,0.1982828354082248
Y,0.7397540983606558,0.7668161434977578,0.8305084745762712,0.8678756476683938
