,index,Average Potential Outcome,Sensitivity Parameter
0,"Y((0.12, 0))",0.6882213386318251,-1.0
1,"Y((0.12, 0))",0.5859882816583376,-1.0
2,"Y((0.12, 0))",0.6187930988710915,-1.0
3,"Y((0.12, 0))",0.6182800120871187,-1.0
4,"Y((0.12, 0))",0.5765267762791921,-1.0
5,"Y((0.12, 0))",0.46170752143406973,-1.0
6,"Y((0.38, 0))",0.5774777133908288,-1.0
7,"Y((0.38, 0))",0.8201800793417297,-1.0
8,"Y((0.38, 0))",0.8446209832084353,-1.0
9,"Y((0.38, 0))",0.8041949638081417,-1.0
10,"Y((0.38, 0))",0.5320041627326213,-1.0
11,"Y((0.38, 0))",,-1.0
12,"Y((0.62, 0))",,-1.0
13,"Y((0.62, 0))",0.8467865747873448,-1.0
14,"Y((0.62, 0))",0.8180497831652118,-1.0
15,"Y((0.62, 0))",0.8588215651445077,-1.0
16,"Y((0.62, 0))",,-1.0
17,"Y((0.62, 0))",,-1.0
18,"Y((0.88, 0))",0.8681406379292559,-1.0
19,"Y((0.88, 0))",0.8870077835011437,-1.0
20,"Y((0.88, 0))",0.9500548913986533,-1.0
21,"Y((0.88, 0))",0.9146227845277817,-1.0
22,"Y((0.88, 0))",0.8743844326099649,-1.0
23,"Y((0.88, 0))",0.9490492263141387,-1.0
24,"Y((0.12, 0))",0.6453645209837838,-0.8
25,"Y((0.12, 0))",0.4699696038464817,-0.8
26,"Y((0.12, 0))",0.6248759465408776,-0.8
27,"Y((0.12, 0))",0.6671066082827095,-0.8
28,"Y((0.12, 0))",0.557331287609679,-0.8
29,"Y((0.12, 0))",0.521142713399038,-0.8
30,"Y((0.38, 0))",0.49493424847250683,-0.8
31,"Y((0.38, 0))",0.7421675455314523,-0.8
32,"Y((0.38, 0))",0.7885806390594443,-0.8
33,"Y((0.38, 0))",0.7825828321359547,-0.8
34,"Y((0.38, 0))",0.5031630492390357,-0.8
35,"Y((0.38, 0))",,-0.8
36,"Y((0.62, 0))",,-0.8
37,"Y((0.62, 0))",0.8660981747256817,-0.8
38,"Y((0.62, 0))",0.795945705339511,-0.8
39,"Y((0.62, 0))",0.8185310180664858,-0.8
40,"Y((0.62, 0))",,-0.8
41,"Y((0.62, 0))",,-0.8
42,"Y((0.88, 0))",0.8186862308718417,-0.8
43,"Y((0.88, 0))",0.8277019363801436,-0.8
44,"Y((0.88, 0))",0.908037639753651,-0.8
45,"Y((0.88, 0))",0.8629413006641817,-0.8
46,"Y((0.88, 0))",0.8132766822965378,-0.8
47,"Y((0.88, 0))",0.8935272106211167,-0.8
48,"Y((0.12, 0))",0.7069231498294585,-0.6
49,"Y((0.12, 0))",0.4853739400815394,-0.6
50,"Y((0.12, 0))",0.524034874149295,-0.6
51,"Y((0.12, 0))",0.558150898284882,-0.6
52,"Y((0.12, 0))",0.7576894243977292,-0.6
53,"Y((0.12, 0))",0.490433645354525,-0.6
54,"Y((0.38, 0))",0.39844777531293035,-0.6
55,"Y((0.38, 0))",0.7506825534033857,-0.6
56,"Y((0.38, 0))",,-0.6
57,"Y((0.38, 0))",0.7433886800126122,-0.6
58,"Y((0.38, 0))",,-0.6
59,"Y((0.38, 0))",0.6476126376941743,-0.6
60,"Y((0.62, 0))",,-0.6
61,"Y((0.62, 0))",0.7979176091227785,-0.6
62,"Y((0.62, 0))",0.6925837592864331,-0.6
63,"Y((0.62, 0))",0.7515071204847925,-0.6
64,"Y((0.62, 0))",,-0.6
65,"Y((0.62, 0))",1.0,-0.6
66,"Y((0.88, 0))",0.7907043198939053,-0.6
67,"Y((0.88, 0))",0.7752357281037099,-0.6
68,"Y((0.88, 0))",0.8643056665375025,-0.6
69,"Y((0.88, 0))",0.8259317909916286,-0.6
70,"Y((0.88, 0))",0.6829070169542205,-0.6
71,"Y((0.88, 0))",0.8415955496696168,-0.6
72,"Y((0.12, 0))",0.6440555604023402,-0.3999999999999999
73,"Y((0.12, 0))",0.46501759234453516,-0.3999999999999999
74,"Y((0.12, 0))",0.5603242807818685,-0.3999999999999999
75,"Y((0.12, 0))",0.6163333034485154,-0.3999999999999999
76,"Y((0.12, 0))",0.6523255048602294,-0.3999999999999999
77,"Y((0.12, 0))",0.511603353675967,-0.3999999999999999
78,"Y((0.38, 0))",0.3986517412941356,-0.3999999999999999
79,"Y((0.38, 0))",0.7125474123338655,-0.3999999999999999
80,"Y((0.38, 0))",0.9746743698432553,-0.3999999999999999
81,"Y((0.38, 0))",0.786359230021669,-0.3999999999999999
82,"Y((0.38, 0))",0.2941348657021019,-0.3999999999999999
83,"Y((0.38, 0))",0.6040355552868073,-0.3999999999999999
84,"Y((0.62, 0))",,-0.3999999999999999
85,"Y((0.62, 0))",0.717976437157782,-0.3999999999999999
86,"Y((0.62, 0))",0.6676457453401093,-0.3999999999999999
87,"Y((0.62, 0))",0.7190867369596476,-0.3999999999999999
88,"Y((0.62, 0))",,-0.3999999999999999
89,"Y((0.62, 0))",0.8054578964850456,-0.3999999999999999
90,"Y((0.88, 0))",0.738509784250581,-0.3999999999999999
91,"Y((0.88, 0))",0.6609607654124346,-0.3999999999999999
92,"Y((0.88, 0))",0.8390345387638956,-0.3999999999999999
93,"Y((0.88, 0))",0.7964006905980764,-0.3999999999999999
94,"Y((0.88, 0))",0.5857448323873709,-0.3999999999999999
95,"Y((0.88, 0))",0.8298875919370288,-0.3999999999999999
96,"Y((0.12, 0))",0.6732187066578342,-0.19999999999999996
97,"Y((0.12, 0))",0.4310603568521813,-0.19999999999999996
98,"Y((0.12, 0))",0.5253661579275608,-0.19999999999999996
99,"Y((0.12, 0))",0.6058976053479511,-0.19999999999999996
100,"Y((0.12, 0))",0.4714082624014016,-0.19999999999999996
101,"Y((0.12, 0))",0.44416127932543586,-0.19999999999999996
102,"Y((0.38, 0))",0.31046140461927485,-0.19999999999999996
103,"Y((0.38, 0))",0.24601582084975604,-0.19999999999999996
104,"Y((0.38, 0))",1.0,-0.19999999999999996
105,"Y((0.38, 0))",0.7561134473887885,-0.19999999999999996
106,"Y((0.38, 0))",0.4498157694473602,-0.19999999999999996
107,"Y((0.38, 0))",0.8113602944513938,-0.19999999999999996
108,"Y((0.62, 0))",,-0.19999999999999996
109,"Y((0.62, 0))",,-0.19999999999999996
